,Actual,RF,KNN,LR,Logistic Regression,Random Forest
3776,0,0,0.0,0,0.03252366363154841,0.02469111879320411
9928,0,0,0.0,0,0.07062485197546385,0.061219096268494026
33409,0,0,0.0,0,0.0608008515598682,0.08920817922588346
31885,0,0,0.0,0,0.24770470800608,0.26211147644649835
15738,0,0,0.0,0,0.04997612065643436,0.03698327239754632
30813,0,0,0.0,0,0.053736944226743605,0.04469580885901859
35463,0,0,0.0,0,0.029991923098268754,0.0706294119841667
31382,0,0,0.0,0,0.046480968363002764,0.0431356496796499
16904,0,0,0.0,0,0.021612086538415967,0.02932600310579978
11930,0,0,0.0,0,0.22882918958539264,0.29737514515209695
34145,1,0,0.6666666666666666,0,0.1462966633186671,0.24643739152783936
37828,0,0,0.0,0,0.03596510321774287,0.03407723332321208
1866,0,0,0.3333333333333333,0,0.19156259739736126,0.1071410782135403
31271,1,0,0.0,0,0.026619599307001633,0.05942586783109357
30574,0,0,0.3333333333333333,0,0.09574371562729637,0.09079277492245359
41828,1,1,0.6666666666666666,1,0.6845930653890258,0.7685705216600728
37181,0,0,0.0,0,0.021260498496841883,0.031197054635345958
39042,0,0,0.0,0,0.10618207300435444,0.06770929247296475
5548,0,0,0.0,0,0.02463751360964152,0.022631335301367114
34197,1,0,0.3333333333333333,0,0.19121022809599492,0.2518041022159891
26191,0,0,0.0,0,0.024902777724190337,0.030274079575098867
35078,1,0,0.0,1,0.8608932900301675,0.429670210006884
34619,0,0,0.0,0,0.02552411677646753,0.03048368325008669
6427,0,0,0.0,0,0.015533093393114285,0.018709064710614155
27377,0,0,0.0,0,0.1203913795439247,0.1058870462005478
2729,0,0,0.0,0,0.017302974995868792,0.020917978977629766
40982,1,0,0.3333333333333333,0,0.25827305434266834,0.21801288161883198
19151,0,0,0.0,0,0.07616145416829333,0.060243432523312504
18900,0,0,0.0,0,0.06798944249187093,0.05213410550985965
2055,0,0,0.0,0,0.028003699810827103,0.029972602557099607
25353,0,0,0.0,0,0.09384790485777059,0.13706770676628455
25609,0,0,0.0,0,0.015615187212794954,0.028432493137482754
23726,0,0,0.0,0,0.005849760197074642,0.03439272764676918
19138,0,0,0.0,0,0.06240502964415867,0.06062853189218168
24802,0,0,0.6666666666666666,0,0.32927324936324504,0.46331597353007103
21887,0,0,0.0,0,0.03503699781600614,0.03175621618776517
1114,0,0,0.0,0,0.01650463103695201,0.02203430138202366
14446,0,0,0.0,0,0.2957720183868319,0.34938355464951315
5139,0,0,0.0,0,0.023163948953804858,0.0213812959857316
37863,0,0,0.0,0,0.012496640339024395,0.019753794982541373
29030,0,0,0.0,0,0.030581691556815456,0.033952039494216595
19711,0,0,0.3333333333333333,0,0.10199849503388017,0.09023668271508081
24088,1,0,0.3333333333333333,0,0.18089873372702225,0.39213781896928385
34784,0,0,0.0,0,0.019397144085278494,0.021949814945202338
36955,0,0,0.0,0,0.09016349448750546,0.10385600408601568
1377,0,0,0.0,0,0.013380122627065155,0.022653680720401026
44123,1,0,0.0,0,0.0566946852919932,0.06277294659682726
3944,0,0,0.3333333333333333,0,0.03075416038287429,0.02748853358914842
43708,0,1,1.0,1,0.8682428573858245,0.7963050977374908
9604,0,0,0.3333333333333333,0,0.12219531175712553,0.09516271502927165
29260,0,0,0.0,0,0.19527752305219315,0.25580777530614834
34713,0,0,0.0,0,0.06727283776139394,0.04391258153766172
16657,0,0,0.0,0,0.02463724546584285,0.026788210155177634
14921,0,0,0.3333333333333333,1,0.9250935878996914,0.47499571530929746
12341,0,0,0.0,0,0.014413888839529912,0.023776199071824412
29675,0,0,0.0,0,0.028492669535389245,0.04406538333942495
13253,0,0,0.0,0,0.0640372101202048,0.04213149037511181
11331,0,0,0.0,0,0.054239661195326264,0.04865276164413073
39774,1,0,0.3333333333333333,0,0.17744785385921583,0.15165138108478876
11839,0,0,0.0,0,0.15865562821228096,0.12448412071869491
44106,1,0,0.0,0,0.22741620690172834,0.12915691217841907
1644,0,0,0.0,0,0.04229311654870098,0.041202041979490484
22855,0,0,0.0,0,0.0379396670854811,0.04762599026654711
5847,0,0,0.0,0,0.015245290987014978,0.019867141367596063
12574,0,0,0.3333333333333333,0,0.2392415161646831,0.17927364417154876
26528,0,0,0.0,0,0.0429330843824666,0.039662782374367773
297,0,0,0.0,0,0.036993342434555994,0.0370414909027543
35979,0,0,0.0,0,0.4932752151690839,0.4128336636887971
14956,0,0,0.0,0,0.02622432824265778,0.027452222351044255
36270,0,0,0.0,0,0.10840022651300162,0.06815739943304669
29716,0,0,0.3333333333333333,0,0.1130391953543271,0.05642739573051042
3025,0,0,0.0,0,0.008666571318591106,0.020259688639038494
38857,0,0,0.0,0,0.09040016556286339,0.06573580037421917
31164,0,0,0.3333333333333333,0,0.06781190214883716,0.05273579664510614
1470,0,0,0.0,0,0.036443453130946615,0.043050505713060454
36553,0,0,0.0,0,0.017785122864476425,0.019889330147860432
10460,0,0,0.0,0,0.08381422003949714,0.06986360493660729
17398,0,0,0.0,0,0.051683070837424044,0.08569063789526993
40429,0,0,1.0,0,0.17428524536583906,0.13731553396984245
16618,0,0,0.0,0,0.05206195574214857,0.04622076234365724
4,0,0,0.0,0,0.09986400717405733,0.0607332321341991
646,0,0,0.3333333333333333,0,0.06726946618003125,0.1740541658119222
9134,1,0,0.3333333333333333,0,0.2560403766376598,0.33381637591843577
25089,0,0,0.0,0,0.0575525312779376,0.03434365676703756
42354,0,0,0.0,1,0.7515039799855996,0.4938908000337939
28092,0,0,0.0,0,0.10412008320365074,0.07733786444952159
39910,1,0,0.3333333333333333,0,0.1295761708023602,0.115268968959132
23891,0,0,0.0,0,0.03133885374726211,0.03349411187448937
9205,1,0,0.6666666666666666,1,0.933727065626214,0.44223915355227167
9731,0,0,0.0,0,0.023487490074011897,0.025876906939722413
32546,0,0,0.0,0,0.07081472800301501,0.08025356572215951
23313,0,0,0.0,0,0.04596507948026326,0.034666298269171496
23374,0,0,0.0,0,0.0730589955126428,0.06164054995106258
5568,0,0,0.0,0,0.005602999053323924,0.02666282722937814
40783,0,0,0.3333333333333333,0,0.1279921005466421,0.15349478609011988
21749,0,0,0.3333333333333333,0,0.14972906329955996,0.08732231905012673
898,0,0,0.0,0,0.021269600893508697,0.021611342989887056
34226,0,0,0.0,0,0.024452842762535724,0.0688323738760833
40892,0,0,0.0,0,0.0459796014325509,0.05777686048485132
314,0,0,0.0,0,0.08959546296072808,0.057077276905990654
17663,0,0,0.0,0,0.021135225733420294,0.0217647296874339
8510,0,0,0.0,0,0.07900485702436379,0.07594521790559054
8454,0,0,0.0,0,0.023572285473269845,0.030653393254184605
29581,0,0,0.0,0,0.039644023989975276,0.043123026069454944
10159,0,0,0.0,0,0.11327359617875021,0.07996621589377863
2943,0,0,0.0,0,0.05760287749402981,0.04430291237755389
32270,0,0,0.0,0,0.033574464568429434,0.04653405046007361
19766,1,0,0.6666666666666666,0,0.16348767302107134,0.07548152261085748
1000,0,0,0.0,0,0.030720474513109917,0.025250398552622195
13399,0,0,0.0,0,0.1308241635910556,0.10671842973364307
15331,0,0,0.0,0,0.03603736074859774,0.035726133058371974
40499,0,1,1.0,1,0.9264494073624913,0.5029827239531609
44583,1,1,0.6666666666666666,1,0.5592701303097577,0.6665274935519182
13926,1,0,0.6666666666666666,0,0.3029950583552391,0.39323366704798374
36115,0,0,0.0,0,0.012894120599593495,0.02066669941444483
2135,0,0,0.3333333333333333,0,0.11938873348053831,0.1738947432583826
39957,1,0,0.0,0,0.087250717579333,0.06764908892704787
37747,1,0,0.3333333333333333,0,0.11650582248640176,0.2762522549136891
17298,0,0,0.0,0,0.029802971637063174,0.02696631148438367
43551,0,0,0.0,0,0.02728511651314167,0.08928500847538962
30039,0,0,0.0,0,0.08262401760440805,0.038081002019621696
23058,0,0,0.0,0,0.07443474995368889,0.05808804218183417
20160,0,0,0.0,0,0.05123785296929649,0.040463592825525765
21746,0,0,0.0,0,0.09703164783039438,0.05807681892895136
3789,0,0,0.0,0,0.012156522740438705,0.027443134230443686
10894,0,0,0.0,0,0.03260070155717877,0.03932189105527664
36126,0,0,0.0,0,0.045761953741144994,0.037852446005349635
26360,0,0,0.0,0,0.0276317913357602,0.0331980509703781
13314,0,0,0.0,0,0.11078094916102355,0.1792473851982947
21247,0,0,0.0,0,0.002857587873264238,0.02227854973584946
31942,0,0,0.0,0,0.07074624900338639,0.12426506308101047
37569,0,0,0.0,0,0.028923347573539884,0.02521854571378346
37720,0,0,0.0,0,0.05133824187442908,0.03870913443367127
42927,1,0,0.3333333333333333,0,0.4023811442986308,0.3932918766073881
9141,0,0,0.0,0,0.03844463067521577,0.04091544129491053
4326,1,0,0.3333333333333333,0,0.2777464400693467,0.464769162843696
30915,0,0,0.3333333333333333,0,0.12362325754498356,0.2159483170498001
30136,1,0,0.0,0,0.05843512084738942,0.04347824445078728
33281,0,0,0.0,0,0.019562550150233452,0.04123251062926418
23835,0,0,0.0,0,0.07414281471956376,0.04997894555630578
31470,0,0,0.0,0,0.029766187918662323,0.06148694758155133
21620,1,1,1.0,1,0.644426085383909,0.5171902608658208
4035,1,0,0.6666666666666666,0,0.2443441704713173,0.4127954934910863
10423,0,0,0.0,0,0.011535218823474865,0.028807079097685057
44539,1,0,0.6666666666666666,1,0.6504117387200712,0.46985200956841067
40436,1,0,0.6666666666666666,0,0.20028236399136345,0.15293879157456047
26397,1,0,0.0,0,0.10900349524504181,0.08175690994788475
14165,0,0,0.0,0,0.04628137790407028,0.03597542516342038
8249,0,0,0.0,0,0.026322324671480116,0.037167509633764924
5522,0,0,0.3333333333333333,0,0.15941293066808473,0.3145405100205476
13889,0,0,0.3333333333333333,0,0.05167107737564112,0.06141031338050387
41149,1,0,0.0,0,0.273372331487743,0.4095415609794578
35926,0,0,0.0,0,0.05639032739924817,0.06624204399269397
44709,0,0,0.0,0,0.06514050799730321,0.13364278018387107
36597,0,0,0.0,0,0.015016768762834233,0.021380143231185623
34204,0,0,0.0,0,0.04840826415861964,0.0704178010971887
30856,0,0,0.0,0,0.009505132600024484,0.023869449360663337
19633,0,0,0.0,0,0.05417637033118065,0.05359415193104669
42908,0,0,0.0,0,0.07455256039533652,0.09319838795261168
10688,0,0,0.0,0,0.027779900351192467,0.03601730152216554
17049,0,0,0.0,0,0.022953668631198222,0.024523152771696807
3617,0,0,0.0,0,0.035982171284331836,0.07930997098736485
29183,0,0,0.3333333333333333,1,0.5812172623220083,0.3195817036645375
17099,0,0,0.0,0,0.014801969443956923,0.02223628248882603
23342,0,0,0.0,0,0.029383984574796473,0.035095729534371234
2624,0,0,0.0,0,0.02353179844972473,0.023353978227955093
40496,0,0,0.0,0,0.028537400987215435,0.038070228060580365
44501,1,1,1.0,1,0.8294188234275814,0.72642464628678
12422,0,0,0.0,0,0.05927144938078561,0.05003841716238694
29253,0,0,0.0,0,0.0260899023244849,0.046738787228630514
43944,0,0,0.6666666666666666,0,0.14058722860044257,0.3959041594322336
41528,1,0,0.0,0,0.15040074239424264,0.41683832726111336
17815,0,0,0.0,0,0.03139856615876535,0.052860632135441725
28326,0,0,0.0,0,0.03801383203192912,0.03451845107825899
39157,0,0,0.0,0,0.02561618157636781,0.031236778407697934
4519,0,0,0.0,0,0.07757616776493939,0.058303228978589805
30169,0,0,0.0,0,0.010932622051011935,0.033580201724820874
9920,0,0,0.0,0,0.0814710118134126,0.05157540607276381
30948,0,0,0.0,0,0.020236645875067103,0.031082187821906117
7070,0,0,0.0,0,0.02205833983975273,0.02432691322280945
27995,0,0,0.0,0,0.06678935231937722,0.04463762735674071
8090,0,0,0.0,0,0.019799281696573284,0.03625446101550771
43013,1,1,1.0,1,0.8030234260469185,0.715560922047731
42269,0,1,0.6666666666666666,1,0.5560511690538472,0.6698708613536575
43979,0,0,0.0,0,0.09596372024114323,0.1364735267969707
24046,0,0,0.0,0,0.020105139410982437,0.20069593967456525
16468,0,0,0.0,0,0.08606574877800928,0.05073678585701039
14009,0,0,0.0,0,0.0588127686356303,0.04261514323241754
31682,0,0,0.0,0,0.11046139032596741,0.06473283108477665
24939,0,0,1.0,0,0.39379801250828705,0.31410279342159647
20398,0,0,0.0,0,0.1192360914823012,0.07305525977636299
31622,0,0,0.3333333333333333,0,0.05901323644762363,0.22800786802861064
9538,0,0,0.0,0,0.09151203597859126,0.05615916736419871
842,0,0,0.0,0,0.08137797539201747,0.052137633420717144
17054,0,0,0.0,0,0.029971832614571762,0.02878806689172138
26208,1,0,0.0,0,0.13329297205596746,0.3353700704096756
16922,0,0,0.0,0,0.006064699071284808,0.025793666616299903
13988,0,0,0.0,0,0.012856347495479361,0.029332749396412533
27234,1,0,0.3333333333333333,1,0.526089717954296,0.4278391552089129
22405,0,0,0.0,0,0.06729616723073947,0.037095674540085846
14449,0,0,0.0,0,0.033511262898372494,0.031519407848081056
15000,0,0,0.3333333333333333,0,0.05025133744232112,0.03749770937666952
33218,0,0,0.0,0,0.04810107974953453,0.04986837937180378
38864,0,0,0.0,0,0.046022728427822554,0.03218364992741835
23417,0,0,0.3333333333333333,1,0.5157607073044477,0.4694351508588439
17666,0,0,0.6666666666666666,0,0.05601633126238314,0.3614202608066939
7870,0,0,0.0,0,0.010978637991290919,0.023666510432344266
28589,0,0,0.0,0,0.18494817316827292,0.12521173334861652
23734,0,0,0.0,0,0.03246545157724074,0.03877731465247743
42221,1,1,0.6666666666666666,1,0.556261091783997,0.647907097018108
38410,0,0,0.0,0,0.025135250326289986,0.03676550544286176
23890,0,0,0.0,0,0.09198151706395764,0.042358395578938834
10036,0,0,0.0,0,0.049082789292182974,0.03823767919944449
37322,0,0,0.0,0,0.0515950088733336,0.05918901966005623
13561,0,0,0.0,0,0.051011351403145354,0.05487908607771818
37301,0,0,0.0,0,0.01965649287772847,0.020974894249789214
43055,1,0,0.3333333333333333,0,0.24949122702111554,0.14295134318976999
12266,0,0,0.0,0,0.02515766221104446,0.029823670631545122
25789,0,0,0.3333333333333333,1,0.9822031185368366,0.49090597927059243
38503,0,0,0.0,0,0.2054926337241944,0.08436111560086494
33844,0,0,0.0,0,0.13042284537124896,0.24045022931940754
44415,0,1,0.6666666666666666,1,0.6715630124777197,0.6190438040870132
43516,1,0,0.0,0,0.41453834529139305,0.4557951934224141
4241,0,0,0.0,0,0.02214190074828058,0.023071888073182115
17403,0,0,0.0,0,0.017775698727692257,0.025914920504959544
31961,0,0,0.0,0,0.031425757543749995,0.053586911104708104
38176,0,0,0.0,0,0.04903548466064813,0.034038610954954765
9137,0,0,0.0,0,0.05412073655899675,0.04008136600633099
34480,0,0,0.0,0,0.11077395698762205,0.03437516842790122
14835,0,0,0.0,0,0.023052939253654422,0.033312005988708884
35251,0,0,0.3333333333333333,0,0.04484706039965405,0.06144318769199727
20397,0,0,0.0,0,0.18050159051966802,0.10591810432647829
9037,0,0,0.3333333333333333,1,0.832505719184616,0.4527063389178153
14505,0,0,0.0,0,0.04275760891637849,0.041749313497538104
36166,0,0,0.0,0,0.05152190338795564,0.03175196165045296
27854,0,0,0.0,0,0.14521030989878392,0.2080170667192221
24719,0,0,0.3333333333333333,0,0.04799816334742731,0.06296855477565079
33526,0,0,0.0,0,0.037213877957375276,0.050869919370795755
16507,0,0,0.0,0,0.05160932736584945,0.06458037760364042
10259,0,0,0.0,0,0.017022605702038108,0.026263877106565206
14880,0,0,0.0,0,0.022503196102802592,0.04448093186456236
